long_edit,sc,usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,acceptedUsageKey,verbatim_name,verbatim_index
Cardamine pratensis,2573,7972010,Cardamine pratensis L.,Cardamine pratensis,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Brassicales,Brassicaceae,Cardamine,Cardamine pratensis,6,7707728,220,7225535,3112,3045622,7972010,FALSE,Magnoliopsida,NA,Cardamine pratensis,32
Carex remota,7544,2727294,Carex remota L.,Carex remota,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Poales,Cyperaceae,Carex,Carex remota,6,7707728,196,1369,7708,2721893,2727294,FALSE,Liliopsida,NA,Carex remota,33
Carex riparia,7612,2718117,Carex riparia Curtis,Carex riparia,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Poales,Cyperaceae,Carex,Carex riparia,6,7707728,196,1369,7708,2721893,2718117,FALSE,Liliopsida,NA,Carex riparia,34
Carex rostrata,7618,2726725,Carex rostrata Stokes,Carex rostrata,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Poales,Cyperaceae,Carex,Carex rostrata,6,7707728,196,1369,7708,2721893,2726725,FALSE,Liliopsida,NA,Carex rostrata,35
Carex sylvatica,7635,2722602,Carex sylvatica Huds.,Carex sylvatica,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Poales,Cyperaceae,Carex,Carex sylvatica,6,7707728,196,1369,7708,2721893,2722602,FALSE,Liliopsida,NA,Carex sylvatica,36
Carex vesicaria,7625,2722046,Carex vesicaria L.,Carex vesicaria,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Poales,Cyperaceae,Carex,Carex vesicaria,6,7707728,196,1369,7708,2721893,2722046,FALSE,Liliopsida,NA,Carex vesicaria,37
Catabrosa aquatica,6941,2705315,Catabrosa aquatica (L.) P.Beauv.,Catabrosa aquatica,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Poales,Poaceae,Catabrosa,Catabrosa aquatica,6,7707728,196,1369,3073,2705314,2705315,FALSE,Liliopsida,NA,Catabrosa aquatica,38
Ceratophyllum demersum,2394,2882398,Ceratophyllum demersum L.,Ceratophyllum demersum,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Ceratophyllales,Ceratophyllaceae,Ceratophyllum,Ceratophyllum demersum,6,7707728,220,7224003,2425,2882396,2882398,FALSE,Magnoliopsida,NA,Ceratophyllum demersum,39
Cerastium fontanum,2018,3085458,Cerastium fontanum Baumg.,Cerastium fontanum,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Caryophyllales,Caryophyllaceae,Cerastium,Cerastium fontanum,6,7707728,220,422,2518,2873815,3085458,FALSE,Magnoliopsida,NA,Cerastium fontanum,40
Chrysosplenium alternifolium,2866,7339315,Chrysosplenium alternifolium L.,Chrysosplenium alternifolium,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Saxifragales,Saxifragaceae,Chrysosplenium,Chrysosplenium alternifolium,6,7707728,220,7219248,2402,3032632,7339315,FALSE,Magnoliopsida,NA,Chrysosplenium alternifolium,41
Chrysosplenium oppositifolium,2868,7526486,Chrysosplenium oppositifolium L.,Chrysosplenium oppositifolium,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Saxifragales,Saxifragaceae,Chrysosplenium,Chrysosplenium oppositifolium,6,7707728,220,7219248,2402,3032632,7526486,FALSE,Magnoliopsida,NA,Chrysosplenium oppositifolium,42
Cicuta virosa,4207,5371864,Cicuta virosa L.,Cicuta virosa,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Apiales,Apiaceae,Cicuta,Cicuta virosa,6,7707728,220,1351,6720,5371861,5371864,FALSE,Magnoliopsida,NA,Cicuta virosa,43
Cirsium arvense,5707,3113414,Cirsium arvense (L.) Scop.,Cirsium arvense,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Asterales,Asteraceae,Cirsium,Cirsium arvense,6,7707728,220,414,3065,3112554,3113414,FALSE,Magnoliopsida,NA,Cirsium arvense,44
Circaea lutetiana,3985,3188794,Circaea lutetiana L.,Circaea lutetiana,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Myrtales,Onagraceae,Circaea,Circaea lutetiana,6,7707728,220,690,2430,3188793,3188794,FALSE,Magnoliopsida,NA,Circaea lutetiana,45
Cirsium oleraceum,5698,3113650,Cirsium oleraceum (L.) Scop.,Cirsium oleraceum,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Asterales,Asteraceae,Cirsium,Cirsium oleraceum,6,7707728,220,414,3065,3112554,3113650,FALSE,Magnoliopsida,NA,Cirsium oleraceum,46
Cirsium palustre,5706,3113239,Cirsium palustre (L.) Scop.,Cirsium palustre,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Asterales,Asteraceae,Cirsium,Cirsium palustre,6,7707728,220,414,3065,3112554,3113239,FALSE,Magnoliopsida,NA,Cirsium palustre,47
Comarum palustre,3129,3020532,Comarum palustre L.,Comarum palustre,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Comarum,Comarum palustre,6,7707728,220,691,5015,3020531,3020532,FALSE,Magnoliopsida,NA,Comarum palustre,48
Convolvulus arvensis,4573,2928390,Convolvulus arvensis L.,Convolvulus arvensis,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Solanales,Convolvulaceae,Convolvulus,Convolvulus arvensis,6,7707728,220,1176,2389,2928386,2928390,FALSE,Magnoliopsida,NA,Convolvulus arvensis,49
Dactylis glomerata,6927,2705308,Dactylis glomerata L.,Dactylis glomerata,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Poales,Poaceae,Dactylis,Dactylis glomerata,6,7707728,196,1369,3073,2705307,2705308,FALSE,Liliopsida,NA,Dactylis glomerata,50
Deschampsia cespitosa,7130,8059811,Deschampsia cespitosa (L.) P.Beauv.,Deschampsia cespitosa,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Poales,Poaceae,Deschampsia,Deschampsia cespitosa,6,7707728,196,1369,3073,2703131,8059811,FALSE,Liliopsida,NA,Deschampsia cespitosa,51
Dryopteris filix-mas,1187,5275132,Dryopteris filix-mas (L.) Schott,Dryopteris filix-mas,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Polypodiales,Dryopteridaceae,Dryopteris,Dryopteris filix-mas,6,7707728,7228684,392,2373,2651126,5275132,FALSE,Polypodiopsida,NA,Dryopteris filix-mas,52
Elodea canadensis,6427,2865448,Elodea canadensis Michx.,Elodea canadensis,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Alismatales,Hydrocharitaceae,Elodea,Elodea canadensis,6,7707728,196,551,3721,7454696,2865448,FALSE,Liliopsida,NA,Elodea canadensis,53
Elytrigia repens,7032,2706649,Elytrigia repens (L.) Nevski,Elytrigia repens,SPECIES,SYNONYM,97,EXACT,Plantae,Tracheophyta,Poales,Poaceae,Elymus,Elymus repens,6,7707728,196,1369,3073,10465436,5290299,TRUE,Liliopsida,5290299,Elytrigia repens,54
Epilobium adenocaulon,4058,6427720,Epilobium adenocaulon Hausskn.,Epilobium adenocaulon,SPECIES,SYNONYM,98,EXACT,Plantae,Tracheophyta,Myrtales,Onagraceae,Epilobium,Epilobium ciliatum,6,7707728,220,690,2430,3189067,9188840,TRUE,Magnoliopsida,8421733,Epilobium adenocaulon,55
Chamaenerion angustifolium,4001,6428353,Chamaenerion angustifolium (L.) Scop.,Chamaenerion angustifolium,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Myrtales,Onagraceae,Chamaenerion,Chamaenerion angustifolium,6,7707728,220,690,2430,8406741,6428353,FALSE,Magnoliopsida,NA,Chamaenerion angustifolium,56
Epilobium hirsutum,4003,3189172,Epilobium hirsutum L.,Epilobium hirsutum,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Myrtales,Onagraceae,Epilobium,Epilobium hirsutum,6,7707728,220,690,2430,3189067,3189172,FALSE,Magnoliopsida,NA,Epilobium hirsutum,57
Epilobium montanum,4012,3664083,Epilobium montanum L.,Epilobium montanum,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Myrtales,Onagraceae,Epilobium,Epilobium montanum,6,7707728,220,690,2430,3189067,3664083,FALSE,Magnoliopsida,NA,Epilobium montanum,58
Epilobium obscurum,4029,3189152,Epilobium obscurum Schreb.,Epilobium obscurum,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Myrtales,Onagraceae,Epilobium,Epilobium obscurum,6,7707728,220,690,2430,3189067,3189152,FALSE,Magnoliopsida,NA,Epilobium obscurum,59
Epilobium palustre,4035,3189080,Epilobium palustre L.,Epilobium palustre,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Myrtales,Onagraceae,Epilobium,Epilobium palustre,6,7707728,220,690,2430,3189067,3189080,FALSE,Magnoliopsida,NA,Epilobium palustre,60
Epilobium parviflorum,4009,3189157,Epilobium parviflorum Schreb.,Epilobium parviflorum,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Myrtales,Onagraceae,Epilobium,Epilobium parviflorum,6,7707728,220,690,2430,3189067,3189157,FALSE,Magnoliopsida,NA,Epilobium parviflorum,61
Epilobium roseum,4033,3666800,Epilobium roseum Schreb.,Epilobium roseum,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Myrtales,Onagraceae,Epilobium,Epilobium roseum,6,7707728,220,690,2430,3189067,3666800,FALSE,Magnoliopsida,NA,Epilobium roseum,62
Epilobium tetragonum,4068,7322563,Epilobium tetragonum L.,Epilobium tetragonum,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Myrtales,Onagraceae,Epilobium,Epilobium tetragonum,6,7707728,220,690,2430,3189067,7322563,FALSE,Magnoliopsida,NA,Epilobium tetragonum,63
Equisetum palustre,1097,2687932,Equisetum palustre L.,Equisetum palustre,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Equisetales,Equisetaceae,Equisetum,Equisetum palustre,6,7707728,7228684,954,3105,2687913,2687932,FALSE,Polypodiopsida,NA,Equisetum palustre,64
Equisetum arvense,1101,7924597,Equisetum arvense L.,Equisetum arvense,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Equisetales,Equisetaceae,Equisetum,Equisetum arvense,6,7707728,7228684,954,3105,2687913,7924597,FALSE,Polypodiopsida,NA,Equisetum arvense,65
Equisetum fluviatile,1096,2687937,Equisetum fluviatile L.,Equisetum fluviatile,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Equisetales,Equisetaceae,Equisetum,Equisetum fluviatile,6,7707728,7228684,954,3105,2687913,2687937,FALSE,Polypodiopsida,NA,Equisetum fluviatile,66
Eupatorium cannabinum,5362,5402943,Eupatorium cannabinum L.,Eupatorium cannabinum,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Asterales,Asteraceae,Eupatorium,Eupatorium cannabinum,6,7707728,220,414,3065,3142374,5402943,FALSE,Magnoliopsida,NA,Eupatorium cannabinum,67
Festuca rubra,6816,2704922,Festuca rubra L.,Festuca rubra,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Poales,Poaceae,Festuca,Festuca rubra,6,7707728,196,1369,3073,2704913,2704922,FALSE,Liliopsida,NA,Festuca rubra,68
Filipendula ulmaria,2934,2987999,Filipendula ulmaria (L.) Maxim.,Filipendula ulmaria,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Filipendula,Filipendula ulmaria,6,7707728,220,691,5015,2987968,2987999,FALSE,Magnoliopsida,NA,Filipendula ulmaria,69
Galium aparine,4522,2913548,Galium aparine L.,Galium aparine,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Gentianales,Rubiaceae,Galium,Galium aparine,6,7707728,220,412,8798,2913027,2913548,FALSE,Magnoliopsida,NA,Galium aparine,70
Galeopsis bifida,4747,5341303,Galeopsis bifida Boenn.,Galeopsis bifida,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Lamiales,Lamiaceae,Galeopsis,Galeopsis bifida,6,7707728,220,408,2497,8423109,5341303,FALSE,Magnoliopsida,NA,Galeopsis bifida,71
Galium odoratum,4488,2914642,Galium odoratum (L.) Scop.,Galium odoratum,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Gentianales,Rubiaceae,Galium,Galium odoratum,6,7707728,220,412,8798,2913027,2914642,FALSE,Magnoliopsida,NA,Galium odoratum,72
Galium palustre,4491,2913130,Galium palustre L.,Galium palustre,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Gentianales,Rubiaceae,Galium,Galium palustre,6,7707728,220,412,8798,2913027,2913130,FALSE,Magnoliopsida,NA,Galium palustre,73
Galeopsis speciosa,4745,5341305,Galeopsis speciosa Mill.,Galeopsis speciosa,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Lamiales,Lamiaceae,Galeopsis,Galeopsis speciosa,6,7707728,220,408,2497,8423109,5341305,FALSE,Magnoliopsida,NA,Galeopsis speciosa,74
Galeopsis tetrahit,4746,5341300,Galeopsis tetrahit L.,Galeopsis tetrahit,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Lamiales,Lamiaceae,Galeopsis,Galeopsis tetrahit,6,7707728,220,408,2497,8423109,5341300,FALSE,Magnoliopsida,NA,Galeopsis tetrahit,75
Galium uliginosum,4490,2913556,Galium uliginosum L.,Galium uliginosum,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Gentianales,Rubiaceae,Galium,Galium uliginosum,6,7707728,220,412,8798,2913027,2913556,FALSE,Magnoliopsida,NA,Galium uliginosum,76
Geranium robertianum,3665,2890668,Geranium robertianum L.,Geranium robertianum,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Geraniales,Geraniaceae,Geranium,Geranium robertianum,6,7707728,220,624,4676,2889949,2890668,FALSE,Magnoliopsida,NA,Geranium robertianum,77
Geum rivale,3114,5369701,Geum rivale L.,Geum rivale,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Geum,Geum rivale,6,7707728,220,691,5015,3024294,5369701,FALSE,Magnoliopsida,NA,Geum rivale,78
Geum urbanum,3116,5369652,Geum urbanum L.,Geum urbanum,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Rosales,Rosaceae,Geum,Geum urbanum,6,7707728,220,691,5015,3024294,5369652,FALSE,Magnoliopsida,NA,Geum urbanum,79
Glechoma hederacea,4789,2926557,Glechoma hederacea L.,Glechoma hederacea,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Lamiales,Lamiaceae,Glechoma,Glechoma hederacea,6,7707728,220,408,2497,2926556,2926557,FALSE,Magnoliopsida,NA,Glechoma hederacea,80
Glyceria declinata,6967,2705488,Glyceria declinata Bréb.,Glyceria declinata,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Poales,Poaceae,Glyceria,Glyceria declinata,6,7707728,196,1369,3073,2705475,2705488,FALSE,Liliopsida,NA,Glyceria declinata,81
Glyceria fluitans,6969,2705495,Glyceria fluitans (L.) R.Br.,Glyceria fluitans,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Poales,Poaceae,Glyceria,Glyceria fluitans,6,7707728,196,1369,3073,2705475,2705495,FALSE,Liliopsida,NA,Glyceria fluitans,82
Glyceria maxima,6964,2705484,Glyceria maxima (Hartm.) Holmb.,Glyceria maxima,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Poales,Poaceae,Glyceria,Glyceria maxima,6,7707728,196,1369,3073,2705475,2705484,FALSE,Liliopsida,NA,Glyceria maxima,83
Glyceria notata,6971,4105780,Glyceria notata Chevall.,Glyceria notata,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Poales,Poaceae,Glyceria,Glyceria notata,6,7707728,196,1369,3073,2705475,4105780,FALSE,Liliopsida,NA,Glyceria notata,84
Hippuris vulgaris,4083,5372503,Hippuris vulgaris L.,Hippuris vulgaris,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Lamiales,Plantaginaceae,Hippuris,Hippuris vulgaris,6,7707728,220,408,2420,3039572,5372503,FALSE,Magnoliopsida,NA,Hippuris vulgaris,85
Holcus lanatus,7164,2706164,Holcus lanatus L.,Holcus lanatus,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Poales,Poaceae,Holcus,Holcus lanatus,6,7707728,196,1369,3073,2706162,2706164,FALSE,Liliopsida,NA,Holcus lanatus,86
Holcus mollis,7166,2706163,Holcus mollis L.,Holcus mollis,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Poales,Poaceae,Holcus,Holcus mollis,6,7707728,196,1369,3073,2706162,2706163,FALSE,Liliopsida,NA,Holcus mollis,87
Hydrocharis morsus-ranae,6423,5329266,Hydrocharis morsus-ranae L.,Hydrocharis morsus-ranae,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Alismatales,Hydrocharitaceae,Hydrocharis,Hydrocharis morsus-ranae,6,7707728,196,551,3721,2865596,5329266,FALSE,Liliopsida,NA,Hydrocharis morsus-ranae,88
Hydrocotyle vulgaris,4106,3034606,Hydrocotyle vulgaris L.,Hydrocotyle vulgaris,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Apiales,Apiaceae,Hydrocotyle,Hydrocotyle vulgaris,6,7707728,220,1351,6720,3034601,3034606,FALSE,Magnoliopsida,NA,Hydrocotyle vulgaris,89
